source_id	gene_set	gene_name	score
Groningen2017	MES	A2M	
Groningen2017	MES	ABRACL	
Groningen2017	MES	ACADVL	
Groningen2017	MES	ACAP2	
Groningen2017	MES	ACTA2	
Groningen2017	MES	ACTN1	
Groningen2017	MES	ADAM19	
Groningen2017	MES	ADAM9	
Groningen2017	MES	ADAMTS5	
Groningen2017	MES	ADGRE5	
Groningen2017	MES	ADGRG6	
Groningen2017	MES	AEBP1	
Groningen2017	MES	AJUBA	
Groningen2017	MES	ALDH1A3	
Groningen2017	MES	AMMECR1	
Groningen2017	MES	ANTXR1	
Groningen2017	MES	ANXA1	
Groningen2017	MES	ANXA2	
Groningen2017	MES	ANXA5	
Groningen2017	MES	ANXA6	
Groningen2017	MES	APOE	
Groningen2017	MES	APP	
Groningen2017	MES	ARHGAP1	
Groningen2017	MES	ARHGEF40	
Groningen2017	MES	ARL1	
Groningen2017	MES	ARL4A	
Groningen2017	MES	ARMCX2	
Groningen2017	MES	ARPC1B	
Groningen2017	MES	ASPH	
Groningen2017	MES	ATP10D	
Groningen2017	MES	ATP1B1	
Groningen2017	MES	ATP2B1	
Groningen2017	MES	ATP2B4	
Groningen2017	MES	ATP6V0E1	
Groningen2017	MES	ATP8B2	
Groningen2017	MES	ATXN1	
Groningen2017	MES	B2M	
Groningen2017	MES	BAG3	
Groningen2017	MES	BGN	
Groningen2017	MES	BMP5	
Groningen2017	MES	BNC2	
Groningen2017	MES	BOC	
Groningen2017	MES	BTN3A2	
Groningen2017	MES	C1orf198	
Groningen2017	MES	C1orf54	
Groningen2017	MES	C4orf32	
Groningen2017	MES	C6orf120	
Groningen2017	MES	CALD1	
Groningen2017	MES	CALU	
Groningen2017	MES	CAPN2	
Groningen2017	MES	CAPN6	
Groningen2017	MES	CBFB	
Groningen2017	MES	CBLB	
Groningen2017	MES	CCDC80	
Groningen2017	MES	CD164	
Groningen2017	MES	CD44	
Groningen2017	MES	CD59	
Groningen2017	MES	CD63	
Groningen2017	MES	CDH11	
Groningen2017	MES	CETN2	
Groningen2017	MES	CFH	
Groningen2017	MES	CFI	
Groningen2017	MES	CILP	
Groningen2017	MES	CKAP4	
Groningen2017	MES	CLIC4	
Groningen2017	MES	CMTM3	
Groningen2017	MES	CMTM6	
Groningen2017	MES	CNN3	
Groningen2017	MES	COL11A1	
Groningen2017	MES	COL12A1	
Groningen2017	MES	COL1A1	
Groningen2017	MES	COL27A1	
Groningen2017	MES	COL3A1	
Groningen2017	MES	COL4A1	
Groningen2017	MES	COL4A2	
Groningen2017	MES	COL5A1	
Groningen2017	MES	COL5A2	
Groningen2017	MES	COL6A1	
Groningen2017	MES	COL6A2	
Groningen2017	MES	COL6A3	
Groningen2017	MES	COPA	
Groningen2017	MES	CPED1	
Groningen2017	MES	CPS1	
Groningen2017	MES	CRABP2	
Groningen2017	MES	CREB3L2	
Groningen2017	MES	CREG1	
Groningen2017	MES	CRELD2	
Groningen2017	MES	CRISPLD1	
Groningen2017	MES	CRTAP	
Groningen2017	MES	CSRP1	
Groningen2017	MES	CTDSP2	
Groningen2017	MES	CTNNA1	
Groningen2017	MES	CTSB	
Groningen2017	MES	CTSC	
Groningen2017	MES	CTSO	
Groningen2017	MES	CXCL12	
Groningen2017	MES	CYBRD1	
Groningen2017	MES	CYFIP1	
Groningen2017	MES	CYP26A1	
Groningen2017	MES	CYR61	
Groningen2017	MES	DCAF6	
Groningen2017	MES	DDOST	
Groningen2017	MES	DDR2	
Groningen2017	MES	DESI2	
Groningen2017	MES	DKK3	
Groningen2017	MES	DLC1	
Groningen2017	MES	DLX1	
Groningen2017	MES	DLX2	
